"cervix_area","os_area","walls_area","speculum_area","artifacts_area","cervix_artifacts_area","os_artifacts_area","walls_artifacts_area","speculum_artifacts_area","cervix_specularities_area","os_specularities_area","walls_specularities_area","speculum_specularities_area","specularities_area","area_h_max_diff","rgb_cervix_r_mean","rgb_cervix_r_std","rgb_cervix_r_mean_minus_std","rgb_cervix_r_mean_plus_std","rgb_cervix_g_mean","rgb_cervix_g_std","rgb_cervix_g_mean_minus_std","rgb_cervix_g_mean_plus_std","rgb_cervix_b_mean","rgb_cervix_b_std","rgb_cervix_b_mean_minus_std","rgb_cervix_b_mean_plus_std","rgb_total_r_mean","rgb_total_r_std","rgb_total_r_mean_minus_std","rgb_total_r_mean_plus_std","rgb_total_g_mean","rgb_total_g_std","rgb_total_g_mean_minus_std","rgb_total_g_mean_plus_std","rgb_total_b_mean","rgb_total_b_std","rgb_total_b_mean_minus_std","rgb_total_b_mean_plus_std","hsv_cervix_h_mean","hsv_cervix_h_std","hsv_cervix_s_mean","hsv_cervix_s_std","hsv_cervix_v_mean","hsv_cervix_v_std","hsv_total_h_mean","hsv_total_h_std","hsv_total_s_mean","hsv_total_s_std","hsv_total_v_mean","hsv_total_v_std","fit_cervix_hull_rate","fit_cervix_hull_total","fit_cervix_bbox_rate","fit_cervix_bbox_total","fit_circle_rate","fit_circle_total","fit_ellipse_rate","fit_ellipse_total","fit_ellipse_goodness","dist_to_center_cervix","dist_to_center_os","consensus"
0.344646644,0.003079788,0.047521708,0.288215582,0.178584943,0.01656388,0,0.043499833,0.01014938,0.000133238,0,0,0.085833121,0.024906936,0.263560376,37.59445775,15.78502111,21.80943664,53.37947885,109.9184446,38.73542072,71.1830239,148.6538653,55.02961781,22.1603304,32.8692874,77.18994821,38.56136731,38.11905891,0.442308395,76.68042622,95.1097546,51.56505222,43.54470239,146.6748068,48.80847436,40.76522755,8.043246811,89.57370191,5.014627518,2.991943862,167.95278,25.81316345,109.9194467,38.73374051,5.090800639,2.936649982,159.4869159,38.43729372,95.12388874,51.58302946,0.923066594,0.373371375,0.844453818,0.408129653,0.60339908,0.571175289,0.962995322,0.357890258,85.47431125,0.265933125,0.346293521,"'1'"
0.165329348,0,0.048235597,0.504735893,0.50278296,0.007012316,0,0.097404511,0.973837317,0.004055118,0,0,0.054999239,0.02843052,0,59.50588214,24.36187743,35.14400471,83.86775956,122.3660754,44.74240686,77.62366852,167.1084822,78.05843413,30.81872856,47.23970558,108.8771627,54.93246718,39.44741532,15.48505186,94.3798825,101.680459,46.028852,55.65160696,147.709311,63.21893062,43.92591188,19.29301874,107.1448425,4.944381888,2.965108025,130.260492,24.14386745,122.366647,44.74393174,5.08006335,2.894162563,128.2519776,33.00069305,101.7255186,46.0935105,0.850860593,0.194308386,0.646644677,0.255672634,0.497315365,0.332443676,0.894624936,0.184802973,124.7941287,1,0.283059065,"'0'"
0.457010481,0.001681183,0.242887859,0.21285946,0,0,0,0,0,0.001755713,0,0,0.083055499,0.018591423,0.269797542,39.35385078,19.41733204,19.93651874,58.77118282,109.543386,49.75349033,59.78989568,159.2968763,54.64288817,27.78196469,26.86092348,82.42485286,41.24223036,34.19635573,7.045874628,75.43858609,109.5923418,57.57663991,52.01570188,167.1689817,53.47024087,38.34439077,15.12585009,91.81463164,5.049946004,2.983966152,163.5769788,24.97304163,109.5442013,49.75365898,5.078936248,2.968023065,162.2686588,33.59079199,109.5971266,57.58451511,0.918514331,0.497554002,0.7474426,0.61143221,0.633924513,0.720922557,0.920286628,0.496595807,94.94869709,0.518739791,0.419375125,"'0'"
0.513243866,0.005711027,0.21378087,0.251819183,0.079795127,0,0,0.017594462,0.007207764,0.001288366,0,0.000315038,0,0.000728595,0.107021601,46.32239138,17.71195737,28.61043401,64.03434876,116.0750867,43.5931245,72.48196217,159.6682112,51.43092336,18.57301638,32.85790698,70.00393975,40.365565,17.25908703,23.10647797,57.62465202,102.6418587,38.60699547,64.03486324,141.2488542,50.80520486,18.07210098,32.73310388,68.87730585,5.17765422,2.969214047,156.242754,25.49937913,116.0817698,43.58267108,5.071879008,2.909001964,158.3439459,28.27392764,102.6482783,38.59829998,0.951710017,0.539285977,0.855409062,0.599998163,0.618139715,0.83030398,0.964610847,0.532073496,74.2216702,0.347202216,0.361671987,"'1'"
0.390319468,0.009454114,0.272883628,0.373487226,0,0,0,0,0,0.000196047,0,0.000303865,0.071441544,0.026759037,0.442831491,37.55297897,14.45497452,23.09800445,52.00795349,101.0449058,37.17197342,63.87293237,138.2168792,53.97167143,17.5916689,36.38000253,71.56334033,40.71722852,38.81069892,1.906529601,79.52792744,97.44618498,48.10625265,49.33993233,145.5524376,51.73300353,39.86695643,11.86604709,91.59995996,4.978533654,2.964685483,158.1605782,30.30889139,101.050711,37.16338349,5.051586578,2.923539877,157.1314074,39.43964178,97.45730371,48.12574694,0.955995742,0.408285781,0.882989806,0.442043005,0.62393838,0.625573743,0.957604086,0.407600044,61.54653556,0.437851921,0.673195751,"'1'"
0.553354263,0.009471762,0.094314508,0,0,0,0,0,0,0.005476982,0,0,0,0.003030711,0.362116143,38.85238335,21.54048268,17.31190067,60.39286602,102.9109828,37.27413792,65.63684485,140.1851207,52.29478607,24.43282298,27.86196309,76.72760905,36.14901609,18.24412126,17.90489484,54.39313735,96.26880572,34.8064572,61.46234852,131.0752629,46.88295332,21.68766705,25.19528627,68.57062037,5.048673594,2.970624466,160.6203544,29.44181351,102.9149638,37.28188162,5.083436614,2.961941723,162.3361824,28.44634903,96.27156397,34.81086943,0.981534724,0.563764327,0.788692498,0.701609644,0.735647004,0.752200797,0.994046878,0.556668177,42.33855302,0.558538696,0.310021228,"'1'"
0.543617703,0.00592724,0.329240979,0.086846665,0.052830549,0.097183275,0.000287611,0,0,0.003288733,0,0,0,0.001787813,0.182331646,44.93858855,20.68549108,24.25309747,65.62407963,114.4436607,45.95316196,68.49049878,160.3968227,61.66092474,26.73102085,34.92990389,88.39194559,37.58363232,18.45169089,19.13194144,56.03532321,89.47811765,45.25662908,44.22148858,134.7347467,47.60871375,25.86188494,21.74682881,73.4705987,5.009451495,2.956607924,153.064008,30.37952659,114.4958046,45.88072148,5.101894785,2.897378971,148.3222932,32.20725087,89.52902748,45.2061316,0.952911357,0.570480873,0.779662734,0.697247257,0.711557681,0.763982622,0.987361533,0.550576141,56.53405344,0.292184923,0.269307552,"'1'"
0.510725932,0.010723651,0.11322665,0.211888948,0.084259294,0.16290496,0.294736866,0,0,0.00644362,0.023979822,0,0,0.003290924,0.276559438,39.90152821,26.35871539,13.54281281,66.2602436,100.2724444,57.96709795,42.30534647,158.2395424,53.92424188,32.25922718,21.6650147,86.18346906,37.18705611,20.93844037,16.24861574,58.12549648,89.83951619,47.22040959,42.6191066,137.0599258,47.08180777,26.45642156,20.62538622,73.53822933,5.032917732,2.91957971,151.1399859,37.83607137,100.3082202,57.94397066,5.092295916,2.90965351,150.6660432,33.78489312,89.86563235,47.20220265,0.938775604,0.544034091,0.817866549,0.624461207,0.652148814,0.783143235,0.969134684,0.526991698,73.74683648,0.415107062,0.337638927,"'1'"
0.512959763,0.017649364,0.251530554,0.178131315,0,0,0,0,0,0.00781803,0.002081429,0,0.292037851,0.056031421,0.128039281,52.67553106,27.49881054,25.17672051,80.1743416,90.16161478,36.67015103,53.49146375,126.8317658,82.23064502,29.59461385,52.63603117,111.8252589,65.74996633,51.28101218,14.46895414,117.0309785,100.1913052,56.05078255,44.14052267,156.2420878,76.45003306,35.21812699,41.23190607,111.6681601,4.383984941,2.886619921,111.6886578,30.36305695,92.29540295,35.41765356,4.688546117,2.693100527,110.7291463,33.10894294,101.4002376,55.34379691,0.983081841,0.521787446,0.862025529,0.595063308,0.785565751,0.652981322,1.00678586,0.509502351,39.77196109,0.36534042,0.461573698,"'1'"
0.565021103,0.01012961,0.340475427,0.033007464,0,0,0,0,0,0.000774784,0,0,0.108142336,0.004007274,0.092298221,36.75553571,15.39903734,21.35649838,52.15457305,126.5385931,26.4548763,100.0837168,152.9934694,53.96346861,13.9852118,39.97825681,67.94868042,35.16505743,20.09217878,15.07287865,55.25723621,116.1760108,34.14641265,82.0295982,150.3224235,48.9897262,20.49817503,28.49155116,69.48790123,5.037236059,3.027126534,182.3631602,21.28917265,126.5387121,26.45488738,5.065790551,3.01721402,180.456471,23.97987771,116.1769017,34.14964701,0.937471598,0.602707435,0.827041455,0.683183533,0.609441583,0.927112816,0.97333938,0.580497526,100.0802237,0.275810261,0.29597323,"'1'"
